순위,키워드,빈도수
1,1분기,6930
2,거래량,6694
3,1개월,5100
4,서비스,4684
5,영업이익,4119
6,글로벌,3896
7,외국인,3831
8,브랜드,3513
9,목표주가,2726
10,전년_동기,2626
11,아파트,2581
12,자동차,2522
13,중소기업,2301
14,포인트,2272
15,투자의견,2200
16,반도체,2130
17,이벤트,2046
18,일자리,2006
19,매출액,1914
20,소비자,1777
21,동종목,1738
22,리포트,1722
23,BUY,1677
24,컨센서스,1677
25,삼성전자,1662
26,전년대비,1649
27,순매도,1628
28,부동산,1599
29,씽크풀,1588
30,코스피,1480
31,트럼프,1445
32,플랫폼,1429
33,대통령,1421
34,수익률,1399
35,연구원,1325
36,화웨이,1241
37,프로그램,1182
38,2분기,1178
39,전기차,1168
40,4분기,1127
41,PBR,1122
42,실거래가,1087
43,스톡봇,1079
44,현대차,1067
45,중위거래,1059
46,스마트폰,1052
47,변동성,1022
48,증권사,1009
49,디자인,1005
50,fnRASSI,997
51,경기도,988
52,경쟁력,985
53,이평선,948
54,스타트업,937
55,신도시,935
56,에너지,934
57,000만,911
58,바이오,900
59,지난달,898
60,6개월,894
61,베트남,893
62,매물대,890
63,서울특별시,887
64,거래비중,885
65,코스닥,881
66,활성화,862
67,디지털,828
68,스마트,821
69,화장품,820
70,LG전자,819
71,대기업,815
72,프리미엄,806
73,무역협상,801
74,투자자,794
75,상승세,772
76,서울시,758
77,기아차,740
78,모바일,734
79,동기간,691
80,캠페인,686
81,배터리,683
82,콘텐츠,679
83,프로젝트,677
84,데이터,676
85,간담회,661
86,친환경,637
87,박람회,634
88,소상공인,631
89,공정위,627
90,계열사,622
91,이마트,613
92,신제품,610
93,보고서,606
94,수도권,601
95,우리나라,594
96,CEO,593
97,미세먼지,582
98,무역전쟁,582
99,사업자,577
100,제조업,571
101,솔루션,564
102,SUV,552
103,근로자,545
104,거래소,540
105,마케팅,535
106,성장률,524
107,핀테크,522
108,무역분쟁,520
109,판매량,508
110,가맹점,507
111,트럼프_대통령,504
112,정배열,504
113,카카오,499
114,SK하이닉스,498
115,매수우위,493
116,수수료,492
117,비즈니스,491
118,전체적,481
119,역배열,473
120,면세점,471
121,투자자들,471
122,현주가,468
123,분양가,467
124,SK텔레콤,466
125,3기_신도시,465
126,코리아,463
127,의약품,461
128,편의점,458
129,인터넷,457
130,프로모션,452
131,1순위,446
132,소비자들,444
133,KB증권,441
134,고객들,433
135,점유율,431
136,보험료,429
137,수익성,425
138,위원회,424
139,재건축,422
140,블록체인,417
141,전문가,415
142,부회장,413
143,오피스텔,412
144,설명회,411
145,기업들,411
146,인프라,410
147,가입자,402
148,LG유플러스,401
149,신한금융투자,401
150,취업자,400
151,위안화,396
152,패키지,395
153,상대적,394
154,중국산,390
155,포스코,385
156,SK이노베이션,384
157,컨소시엄,382
158,우리은행,382
159,구직자,381
160,빅데이터,380
161,세미나,380
162,컨설팅,380
163,전시회,380
164,국토부,379
165,금융위,376
166,클라우드,376
167,휘발유,375
168,순이익,374
169,농산물,373
170,청년들,367
171,금감원,367
172,NH투자증권,364
173,미래에셋대우,364
174,롯데백화점,364
175,아시아나항공,360
176,3분기,358
177,유류세,352
178,상반기,352
179,기준금리,351
180,3개월,346
181,2019년,343
182,부총리,342
183,당첨자,342
184,GDP,341
185,최저임금,338
186,한국투자증권,336
187,자회사,336
188,중기부,334
189,보조금,333
190,아이디어,333
191,대규모,332
192,e2BOT,330
193,e2bot,330
194,롯데카드,329
195,직원들,328
196,태양광,327
197,경쟁률,326
198,업무협약,322
199,저평가,321
200,어린이,319
