순위,키워드,빈도수
1,거래량,6083
2,1개월,4931
3,서비스,3222
4,외국인,3102
5,전년_동기,3039
6,브랜드,2859
7,영업이익,2689
8,글로벌,2685
9,4분기,2475
10,목표주가,2398
11,자동차,1986
12,일자리,1946
13,아파트,1935
14,중소기업,1879
15,매출액,1838
16,투자의견,1833
17,반도체,1726
18,포인트,1713
19,부동산,1574
20,삼성전자,1554
21,소비자,1506
22,동종목,1466
23,PBR,1465
24,컨센서스,1438
25,이벤트,1415
26,리포트,1408
27,BUY,1376
28,씽크풀,1375
29,연구원,1204
30,순매도,1204
31,수익률,1184
32,fnRASSI,1126
33,디자인,1087
34,현대차,1048
35,경쟁력,1032
36,코스피,990
37,지난달,931
38,상승세,909
39,전기차,906
40,경기도,827
41,스마트폰,824
42,프로그램,823
43,수도권,817
44,에너지,812
45,플랫폼,811
46,이평선,806
47,기아차,792
48,활성화,789
49,스마트,776
50,스톡봇,726
51,변동성,706
52,프리미엄,700
53,베트남,699
54,전년_대비,682
55,투자자,675
56,서울시,663
57,거래비중,661
58,코스닥,656
59,이마트,654
60,대통령,653
61,정배열,648
62,모바일,642
63,매물대,642
64,전형적,636
65,무역협상,629
66,프로젝트,622
67,2018년,615
68,SK하이닉스,612
69,디지털,608
70,부회장,605
71,LG전자,600
72,스타트업,590
73,국민연금,586
74,트럼프,581
75,위원회,579
76,근로자,578
77,클러스터,578
78,보고서,568
79,제조업,564
80,증권사,561
81,수수료,561
82,대기업,549
83,소상공인,548
84,신제품,546
85,마케팅,542
86,화장품,538
87,콘텐츠,519
88,수익성,507
89,갤럭시,504
90,상반기,490
91,6개월,488
92,보조금,484
93,바이오,483
94,미세먼지,475
95,가맹점,474
96,사업자,473
97,CEO,472
98,디스플레이,470
99,대표이사,468
100,1분기,463
101,배터리,462
102,데이터,442
103,친환경,441
104,SUV,437
105,솔루션,430
106,전체적,428
107,SK텔레콤,420
108,패키지,416
109,YoY,415
110,판매량,414
111,캠페인,413
112,계열사,412
113,금감원,409
114,LG유플러스,406
115,공공기관,399
116,설명회,397
117,간담회,396
118,공시지가,393
119,3개월,391
120,인프라,387
121,한진칼,386
122,거래소,384
123,핀테크,384
124,현대중공업,383
125,당기순이익,382
126,대한항공,382
127,농산물,381
128,3분기,378
129,본부장,371
130,전문가,369
131,키움증권,368
132,S10,366
133,가입자,361
134,이사회,360
135,카메라,359
136,우리나라,355
137,점유율,354
138,국토부,353
139,순이익,352
140,기대감,350
141,기업들,350
142,의약품,350
143,보험료,347
144,소비자들,346
145,시리즈,344
146,청년들,343
147,코리아,341
148,취업자,340
149,프로모션,336
150,블록체인,336
151,자회사,336
152,전시회,333
153,신한금융,330
154,편의점,327
155,CJ헬로,324
156,전년대비,324
157,상승률,321
158,하락세,315
159,최저임금,315
160,표준지,314
161,영업이익률,314
162,농업인,313
163,KB증권,311
164,대우조선해양,305
165,넷마블,302
166,동기간,300
167,마이너스,299
168,쇼핑몰,299
169,부산시,297
170,HOLD,297
171,위원장,296
172,OLED,294
173,투자자들,290
174,삼성증권,286
175,임대료,286
176,카카오,282
177,미래에셋대우,281
178,트렌드,280
179,분양가,280
180,태양광,279
181,인터넷,279
182,NH투자증권,278
183,고객들,278
184,백화점,278
185,반도체_클러스터,276
186,홈페이지,275
187,우리은행,275
188,2분기,273
189,미디어,272
190,초콜릿,269
191,사외이사,268
192,제주항공,268
193,대규모,268
194,지원사업,267
195,전셋값,264
196,한국투자증권,262
197,임직원,261
198,오피스텔,261
199,이사장,260
200,자영업자,259
