순위,키워드,빈도수
1,미세먼지,3847
2,정준영,3232
3,대통령,2400
4,버닝썬,2321
5,유치원,1830
6,피해자,1611
7,장애인,1608
8,서비스,1549
9,프로그램,1547
10,환경부,1447
11,교육부,1408
12,동영상,1332
13,청와대,1322
14,한유총,1276
15,변호사,1201
16,위원회,1090
17,성접대,1043
18,성관계,1040
19,법무부,1019
20,피의자,1017
21,이사장,1004
22,재판부,989
23,학부모,914
24,김학의,908
25,대법원,867
26,사립유치원,841
27,전두환,840
28,공무원,839
29,경찰관,818
30,대화방,776
31,청소년,756
32,아파트,752
33,후보자,745
34,일자리,738
35,노동자,725
36,구속영장,720
37,서울시,716
38,장자연,696
39,압수수색,662
40,근로자,655
41,위원장,646
42,카카오톡,638
43,아이들,632
44,초미세먼지,581
45,이희진,571
46,부장판사,543
47,이야기,542
48,음주운전,532
49,교육청,528
50,성폭력,525
51,휴대전화,524
52,성매매,523
53,마스크,519
54,개정안,512
55,개학_연기,506
56,아레나,505
57,지자체,486
58,재수사,486
59,사업장,480
60,어린이집,476
61,아버지,470
62,6개월,467
63,캠페인,465
64,항소심,458
65,피고인,457
66,경기도,453
67,대한항공,450
68,성폭행,449
69,어린이,446
70,한국당,441
71,초등학교,440
72,수도권,432
73,운전자,427
74,조사단,422
75,마약류,417
76,직원들,416
77,진상조사단,414
78,국세청,410
79,비상저감,390
80,과태료,382
81,경사노위,380
82,연예인,377
83,주민들,377
84,교통사고,375
85,여성들,368
86,교육감,368
87,사람들,367
88,세월호,365
89,보고서,364
90,소속사,361
91,조합원,354
92,지난달,354
93,학부모들,350
94,변호인,347
95,외국인,342
96,경찰총장,341
97,어머니,340
98,프로포폴,336
99,고아라,336
100,장학금,334
101,자동차,331
102,고등학교,329
103,승용차,325
104,자유한국당,322
105,부동산,321
106,윤지오,317
107,에듀파인,315
108,무혐의,311
109,보건소,309
110,폐기물,307
111,카톡방,307
112,신입생,306
113,시민들,306
114,가습기,300
115,대상자,296
116,서울대,295
117,CCTV,291
118,최저임금,291
119,원내대표,286
120,경찰청,286
121,대법원장,285
122,공정위,282
123,중학교,282
124,가해자,281
125,경찰청장,281
126,살균제,278
127,3개월,272
128,공공기관,271
129,발전소,271
130,성범죄,270
131,촬영물,270
132,이명박,267
133,제주도,267
134,간담회,267
135,블랙리스트,267
136,의약품,267
137,성추행,265
138,인권위,263
139,학년도,260
140,SNS,260
141,인터뷰,259
142,협의회,256
143,불법_촬영,251
144,저출산,250
145,대법관,247
146,쓰레기,245
147,식약처,243
148,세무조사,243
149,이사회,239
150,민주노총,239
151,보험료,239
152,에너지,237
153,김은경,237
154,디지털,237
155,피해자들,236
156,스트레스,234
157,우리나라,234
158,지원금,233
159,비정규직,231
160,부회장,231
161,자사고,231
162,불가능,230
163,청담동,227
164,사업자,226
165,가습기_살균제,226
166,취재진,224
167,주의보,223
168,설명회,222
169,문재인,222
170,공소시효,221
171,성희롱,217
172,김성태,217
173,소방당국,217
174,인터넷,215
175,베트남,213
176,연구팀,213
177,전문가,211
178,기자회견,211
179,국민연금,210
180,드라마,210
181,공기청정기,209
182,교육과정,205
183,유리홀딩스,204
184,수사권,204
185,조합장,204
186,사이트,203
187,병무청,203
188,실소유주,202
189,센터장,202
190,미성년자,202
191,건강보험,201
192,성접대_의혹,201
193,공사장,201
194,광주지법,201
195,입학식,200
196,이부진,199
197,포항지진,199
198,청문회,198
199,스스로,197
200,서울시교육청,197
