순위,키워드,빈도수
1,대통령,12261
2,트럼프,6516
3,위원장,6064
4,정상회담,4710
5,한국당,4215
6,트럼프_대통령,4175
7,하노이,3696
8,비핵화,3630
9,베트남,3600
10,청와대,3092
11,김정은,3025
12,민주당,2443
13,자유한국당,1929
14,원내대표,1607
15,한반도,1505
16,김진태,1463
17,전당대회,1441
18,북미정상회담,1369
19,문재인,1281
20,황교안,1153
21,대변인,918
22,의원들,781
23,위원회,757
24,박근혜,756
25,바른미래당,755
26,국회의원,713
27,실무협상,690
28,오세훈,686
29,종전선언,654
30,폼페이오,641
31,백악관,617
32,조합장,606
33,최고위원,604
34,김순례,603
35,비건_대표,597
36,김정은_위원장,566
37,토론회,517
38,싱가포르,514
39,김경수,510
40,미사일,509
41,지도부,505
42,당대표,489
43,핵시설,489
44,지지율,485
45,더불어민주당,483
46,2차_북미정상회담,469
47,간담회,453
48,윤리위,452
49,이종명,450
50,문재인_대통령,437
51,특별대표,402
52,이야기,396
53,정상화,395
54,공청회,392
55,후보자,383
56,국무부,368
57,태극기,363
58,환경부,360
59,금강산,355
60,유공자,354
61,러시아,354
62,외교부,350
63,북한군,349
64,정의당,347
65,분위기,334
66,조합원,333
67,개성공단,332
68,대한민국,332
69,김혁철,330
70,변호사,324
71,블랙리스트,322
72,위안부,309
73,지만원,303
74,상응조치,294
75,영변_핵시설,293
76,수사관,289
77,주한미군,288
78,부위원장,285
79,민주주의,284
80,방위비,283
81,홍준표,283
82,일자리,283
83,개정안,279
84,보좌관,278
85,드루킹,272
86,구체적,272
87,선관위,267
88,민주화,267
89,보이콧,265
90,베이징,261
91,분담금,256
92,폼페이오_장관,252
93,손혜원,248
94,사법부,248
95,국민들,244
96,여론조사,244
97,김용균,242
98,합의문,242
99,최저임금,241
100,기자회견,237
101,나경원,237
102,후보들,236
103,중소기업,235
104,무역협상,224
105,응우옌,220
106,연설회,220
107,5·18_망언,220
108,부총리,220
109,대사관,219
110,징계안,217
111,워싱턴,215
112,정치권,213
113,대북제재,212
114,포인트,211
115,인터뷰,211
116,소상공인,207
117,도널드,207
118,자영업자,205
119,핵무기,204
120,목소리,204
121,소식통,204
122,이사장,201
123,임시국회,199
124,합동연설회,198
125,20대,198
126,5·18_민주화,198
127,김병준,195
128,메트로폴,194
129,신공항,192
130,재판부,191
131,북미_정상회담,189
132,로드맵,187
133,비건_특별대표,186
134,지난달,185
135,2차_북미,185
136,제재_완화,185
137,이해찬,184
138,연락사무소,184
139,마지막,183
140,수석대변인,179
141,자영업,179
142,동당역,178
143,대법원,177
144,남북경협,174
145,자치경찰제,174
146,경사노위,173
147,여야_4당,173
148,정치인,173
149,국정원,171
150,보고서,170
151,사람들,169
152,국회_정상화,168
153,불출마,168
154,상응_조치,163
155,국방부,163
156,기업인,163
157,도널드_트럼프,162
158,김태우,159
159,27일,159
160,공무원,158
161,시진핑,158
162,공명선거,157
163,UAE,157
164,구청장,157
165,평화체제,157
166,노동당,156
167,2차_정상회담,156
168,청문회,156
169,피해자,155
170,멜리아,155
171,평화협정,154
172,회담장,154
173,베네수엘라,151
174,사실상,151
175,패스트,150
176,법무부,150
177,6개월,150
178,본부장,149
179,왕세제,149
180,외무상,147
181,비핵화_조치,147
182,결의안,146
183,아베_총리,146
184,국가비상사태,145
185,중기중앙회,144
186,통일부,143
187,윤리특위,143
188,모디_총리,142
189,공화당,142
190,김일성,141
191,독립운동,141
192,모하메드,141
193,협의회,140
194,수도권,139
195,김준교,139
196,미국_대통령,139
197,북미회담,139
198,민주평화당,139
199,리얼미터,139
200,주민들,139
